Číslo kapitoly,Kapitola,Výdaj,Částka
301,Kancelář prezidenta republiky,Výdaje vlastního úřadu Kanceláře prezidenta republiky,130864188.0
301,Kancelář prezidenta republiky,Celkové výdaje na areál Pražského hradu a zámku Lány,242225537.0
301,Kancelář prezidenta republiky,Celkové výdaje na lesní hospodářství,32275000.0
302,Poslanecká sněmovna Parlamentu,Výdaje Poslanecké sněmovny Parlamentu ČR,1332355420.0
303,Senát Parlamentu,Výdaje Senátu Parlamentu ČR,605343544.0
304,Úřad vlády České republiky,Výdaje na zabezpečení úkolů Úřadu vlády ČR,1088156515.0
305,Bezpečnostní informační služba,Výdaje na zabezpečení plnění úkolů Bezpečnostní informační služby,2076974408.0
306,Ministerstvo zahraničních věcí,Výdaje na plnění úkolů Ministerstva zahraničních věcí,8127005597.0
307,Ministerstvo obrany,Zajištění obrany ČR silami Armády ČR,43054700354.0
307,Ministerstvo obrany,Vytváření a rozvoj systému obrany státu,11838991645.0
307,Ministerstvo obrany,Zajištění strategického zpravodajství,3349610404.0
307,Ministerstvo obrany,Zajištění podpory prezidenta republiky ve funkci vrchního velitele ozbrojených sil,688283413.0
307,Ministerstvo obrany,Zajištění dávek důchodového zabezpečení,4665000000.0
307,Ministerstvo obrany,Zajištění ostatních sociálních dávek,2650000000.0
307,Ministerstvo obrany,Zajištění státní sportovní reprezentace,488214705.0
308,Národní bezpečnostní úřad,Výdaje na zabezpečení plnění úkolů Národního bezpečnostního úřadu,301507594.0
309,Kancelář veřejného ochránce práv,Výdaje na zabezpečení plnění úkolů Kanceláře veřejného ochránce práv,158931689.0
312,Ministerstvo financí,Výdaje na zabezpečení úkolů finanční správy,12963239501.0
312,Ministerstvo financí,Výdaje na zabezpečení plnění úkolů ústředního orgánu,2832626074.0
312,Ministerstvo financí,Výdaje na zabezpečení úkolů celní správy,5921553857.0
312,Ministerstvo financí,Správa majetku státu a právní zastupování státu ve věcech majetkových,1757439955.0
312,Ministerstvo financí,Výdaje na zabezpečení činnosti Kanceláře finančního arbitra,64906133.0
312,Ministerstvo financí,Výdaje na zabezpečení činnosti Finančního analytického úřadu,78198718.0
313,Ministerstvo práce a sociálních věcí,Dávky důchodového pojištění,461328558457.0
313,Ministerstvo práce a sociálních věcí,Dávky státní sociální podpory a pěstounské péče,42905322182.0
313,Ministerstvo práce a sociálních věcí,Dávky nemocenského pojištění,36200000000.0
313,Ministerstvo práce a sociálních věcí,Dávky pomoci v hmotné nouzi,6629455542.0
313,Ministerstvo práce a sociálních věcí,Dávky osobám se zdravotním postižením,3000000000.0
313,Ministerstvo práce a sociálních věcí,Ostatní sociální dávky,2000000.0
313,Ministerstvo práce a sociálních věcí,Podpory v nezaměstnanosti,7300000000.0
313,Ministerstvo práce a sociálních věcí,Příspěvek na péči podle zákona o sociálních službách,26600000000.0
313,Ministerstvo práce a sociálních věcí,Aktivní politika zaměstnanosti celkem,2252777707.0
313,Ministerstvo práce a sociálních věcí,Výdaje spojené s realizací zákona č. 118/2000 Sb.,400000000.0
313,Ministerstvo práce a sociálních věcí,Výdaje spojené s realizací odškodňovacích zákonů,510000000.0
313,Ministerstvo práce a sociálních věcí,Příspěvek na podporu zaměstnávání osob se zdravotním postižením,7005000000.0
313,Ministerstvo práce a sociálních věcí,Ostatní výdaje organizačních složek státu,17426016469.0
313,Ministerstvo práce a sociálních věcí,Neinvestiční nedávkové transfery,25184420060.0
313,Ministerstvo práce a sociálních věcí,Transfery na podporu reprodukce majetku nestátním subjektům v sociální oblasti,447440000.0
314,Ministerstvo vnitra,Výdaje Policie ČR,43073416106.0
314,Ministerstvo vnitra,Výdaje Hasičského záchranného sboru ČR,10880774892.0
314,Ministerstvo vnitra,Výdaje na zabezpečení plnění úkolů Ministerstva vnitra a ostatních organizačních složek státu,13233042949.0
314,Ministerstvo vnitra,Výdaje na sportovní reprezentaci,284856166.0
314,Ministerstvo vnitra,Dávky důchodového pojištění,5728053000.0
314,Ministerstvo vnitra,Ostatní sociální dávky,4404905000.0
315,Ministerstvo životního prostředí,Ochrana přírody a krajiny,749700000.0
315,Ministerstvo životního prostředí,Technická ochrana životního prostředí,3608000000.0
315,Ministerstvo životního prostředí,Ochrana klimatu a ovzduší,5676930889.0
315,Ministerstvo životního prostředí,Ostatní činnosti v životním prostředí,4039139143.0
317,Ministerstvo pro místní rozvoj,Podpora regionálního rozvoje a cestovního ruchu,9511734100.0
317,Ministerstvo pro místní rozvoj,Podpora bydlení,695800000.0
317,Ministerstvo pro místní rozvoj,Uzemní plánování a stavební řád,133454273.0
317,Ministerstvo pro místní rozvoj,Ostatní činnosti resortu,1160919906.0
321,Grantová agentura České republiky,Výdaje Kanceláře Grantové agentury ČR,109783000.0
321,Grantová agentura České republiky,Dotace jiným subjektům,4281001794.0
322,Ministerstvo průmyslu a obchodu,Podpora podnikání,7004414710.0
322,Ministerstvo průmyslu a obchodu,"Zahlazování následků hornické činnosti, mandatorní výdaje a zajištění dalších potřeb státu",4070482285.0
322,Ministerstvo průmyslu a obchodu,Výdaje spojené s další činností resortu,2709701619.0
322,Ministerstvo průmyslu a obchodu,Dotace na obnovitelné zdroje energie,25000000000.0
322,Ministerstvo průmyslu a obchodu,Financování Správy úložišť radioaktivních odpadů,812073664.0
327,Ministerstvo dopravy,Drážní a kombinovaná doprava,8269379136.0
327,Ministerstvo dopravy,Pozemní komunikace,0.0
327,Ministerstvo dopravy,Dotace pro Státní fond dopravní infrastruktury,54746044258.0
327,Ministerstvo dopravy,Ostatní výdaje spojené s dopravní politikou státu,9540001347.0
328,Český telekomunikační úřad,Výdaje na zabezpečení plnění úkolů Českého telekomunikačního úřadu,1468076432.0
329,Ministerstvo zemědělství,Podpora agropotravinářského komplexu,44149118423.0
329,Ministerstvo zemědělství,Dotace na činnost Státního zemědělského intervenčního fondu,1800000000.0
329,Ministerstvo zemědělství,Podpora lesního hospodářství,620937175.0
329,Ministerstvo zemědělství,Podpora vodního hospodářství,1500000000.0
329,Ministerstvo zemědělství,Podpora neziskovým organizacím,100000000.0
329,Ministerstvo zemědělství,"Ostatní výdaje na státní politiku resortu, inspekční, kontrolní a výzkumnou činnost",9245700699.0
333,"Ministerstvo školství, mládeže a tělovýchovy",Věda a vysoké školy,46263016939.0
333,"Ministerstvo školství, mládeže a tělovýchovy",Výdaje regionálního školství a přímo řízených organizací,143723127562.0
333,"Ministerstvo školství, mládeže a tělovýchovy",Podpora činnosti v oblasti mládeže,276266938.0
333,"Ministerstvo školství, mládeže a tělovýchovy",Podpora činnosti v oblasti sportu,7000000000.0
333,"Ministerstvo školství, mládeže a tělovýchovy","Výdaje na programy spolufinancované z rozpočtu Evropské unie a z prostředků finančních mechanismů mimo výzkum, vývoj a inovace",6257601977.0
333,"Ministerstvo školství, mládeže a tělovýchovy",Ostatní výdaje na zabezpečení úkolů resortu,2239152948.0
334,Ministerstvo kultury,"Výdaje na výzkum, vývoj a inovace celkem",487296138.0
334,Ministerstvo kultury,Výdaje dle zákona o majetkovém vyrovnání s církvemi a náboženskými společnostmi,3288731860.0
334,Ministerstvo kultury,Výdaje na zabezpečení plnění úkolů Ministerstva kultury,441474297.0
334,Ministerstvo kultury,Příspěvkové organizace zřízené Ministerstvem kultury,7705058510.0
334,Ministerstvo kultury,"Kulturní služby, podpora živého umění",742862430.0
334,Ministerstvo kultury,"Záchrana a obnova kulturních památek, veřejné služby muzeí",812000000.0
334,Ministerstvo kultury,Podpora kultury národnostních menšin,33000000.0
334,Ministerstvo kultury,Podpora rozvoje a obnovy materiálně technické základny regionálních kulturních zařízení,277000000.0
334,Ministerstvo kultury,Státní fond kinematografie,995980123.0
335,Ministerstvo zdravotnictví,Výdaje na státní správu,2284337385.0
335,Ministerstvo zdravotnictví,Výzkum a vývoj ve zdravotnictví,1552100648.0
335,Ministerstvo zdravotnictví,Lůžková péče,1128641868.0
335,Ministerstvo zdravotnictví,Zvláštní zdravotnická zařízeni a služby pro zdravotnictví,1300713835.0
335,Ministerstvo zdravotnictví,Zdravotnické programy,1168508267.0
335,Ministerstvo zdravotnictví,Ostatní činnosti ve zdravotnictví,768793537.0
336,Ministerstvo spravedlnosti,Výdajový blok - Výdaje justiční část,18647673954.0
336,Ministerstvo spravedlnosti,Výdajový blok - Výdaje vězeňská část,11842108638.0
343,Úřad pro ochranu osobních údajů,Výdaje na zabezpečení plnění úkolů Úřadu pro ochranu osobních údajů,167195335.0
344,Úřad průmyslového vlastnictví,Výdaje na zabezpečení plnění úkolů Úřadu průmyslového vlastnictví,196462520.0
345,Český statistický úřad,Výdaje na zabezpečení plnění úkolů Českého statistického úřadu,1304798306.0
346,Český úřad zeměměřický a katastrální,Výdaje na zabezpečení plnění úkolů Českého úřadu zeměměřického a katastrálního,3524639347.0
348,Český báňský úřad,Výdaje na zabezpečení plnění úkolů Českého báňského úřadu,179247759.0
349,Energetický regulační úřad,Výdaje na zabezpečení plnění úkolů Energetického regulačního úřadu,295403397.0
353,Úřad pro ochranu hospodářské soutěže,Výdaje na zabezpečení plnění úkolů Úřadu pro ochranu hospodářské soutěže,254126162.0
355,Ústav pro studium totalitních režimů,Výdaje na zabezpečení plnění úkolů OSS Ústavu pro studium totalitních režimů,147392355.0
355,Ústav pro studium totalitních režimů,Výdaje na zabezpečení plnění úkolů Archivu bezpečnostních složek,87139558.0
358,Ústavní soud,Výdaje na zabezpečení plnění úkolů Ústavního soudu,231559248.0
359,Úřad Národní rozpočtové rady,Výdaje na zabezpečení plnění úkolů Úřadu Národní rozpočtové rady,25503936.0
361,Akademie věd České republiky,Infrastruktura výzkumu,6022421793.0
361,Akademie věd České republiky,Programy výzkumu,0.0
362,Národní sportovní agentura,Výdaje na zabezpečení plnění úkolů Národní sportovní agentury,0.0
362,Národní sportovní agentura,Dotace do oblasti sportu,0.0
371,Úřad pro dohled nad hospodařením politických stran a politických hnutí,Výdaje na zabezpečení plnění úkolů Úřadu pro dohled nad hospodařením politických stran a politických hnutí,34816619.0
372,Rada pro rozhlasové a televizní vysílání,Výdaje na zabezpečení plnění úkolů Rady pro rozhlasové a televizní vysílání celkem,68154789.0
373,Úřad pro přístup k dopravní infrastruktuře,Výdaje na zabezpečení plnění úkolů Úřadu pro přístup k dopravní infrastruktuře,19584073.0
374,Správa státních hmotných rezerv,Civilní připravenost na krizové stavy,2692639708.0
374,Správa státních hmotných rezerv,Zabezpečení potřeb ozbrojených sil,6320000.0
375,Státní úřad pro jadernou bezpečnost,Výdaje na zabezpečení plnění úkolů Státního úřadu pro jadernou bezpečnost,429801218.0
376,Generální inspekce bezpečnostních sborů,Výdaje na zabezpečení plnění úkolů Generální inspekce bezpečnostních sborů,375838074.0
376,Generální inspekce bezpečnostních sborů,Sociální dávky,30000000.0
377,Technologická agentura České republiky,Výdaje Kanceláře Technologické agentury ČR,163843493.0
377,Technologická agentura České republiky,Dotace jiným subjektům,4110802951.0
378,Národní úřad pro kybernetickou a informační bezpečnost,Výdaje na zabezpečení plnění úkolů Národního úřadu pro kybernetickou a informační bezpečnost,352460730.0
381,Nejvyšší kontrolní úřad,Výdaje na zabezpečení plnění úkolů Nejvyššího kontrolního úřadu,894507530.0
396,Státní dluh,Obsluha státního dluhu,46499000000.0
397,Operace státních finančních aktiv,Transfery do jiných kapitol,100000000.0
397,Operace státních finančních aktiv,Ostatní výdaje,215000000.0
398,Všeobecná pokladní správa,Vládní rozpočtová rezerva,4787258102.0
398,Všeobecná pokladní správa,"Rezerva na řešení krizových situací, jejich předcházení a odstraňování jejich následků (zákon č. 240/2000 Sb., ve znění pozdějších předpisů)",140000000.0
398,Všeobecná pokladní správa,"Rezerva na mimořádné výdaje podle zákona č. 239/2000 Sb., o integrovaném záchranném systému",60000000.0
398,Všeobecná pokladní správa,Stavební spoření,4000000000.0
398,Všeobecná pokladní správa,Podpora exportu; majetková újma; státní záruky; investiční pobídky,1663374322.0
398,Všeobecná pokladní správa,Sociální výdaje; náhrady; neziskové a podobné organizace,8681190000.0
398,Všeobecná pokladní správa,Finanční vztahy státního rozpočtu k rozpočtům krajů (s výjimkou hlavního města Prahy) - viz příloha č. 5,1317332700.0
398,Všeobecná pokladní správa,Finanční vztahy státního rozpočtu k rozpočtům obcí v úhrnech po jednotlivých krajích (s výjimkou hlavního města Prahy) - viz příloha č. 6,9438270400.0
398,Všeobecná pokladní správa,Finanční vztah státního rozpočtu k rozpočtu hlavního města Prahy - viz příloha č. 7,1075508600.0
398,Všeobecná pokladní správa,Další prostředky pro územní samosprávné celky,183489700.0
398,Všeobecná pokladní správa,Transfery veřejným rozpočtům ústřední úrovně,73320432000.0
398,Všeobecná pokladní správa,Ostatní výdaje,7400108638.0
398,Všeobecná pokladní správa,Odvody do rozpočtu Evropské unie,43600000000.0
398,Všeobecná pokladní správa,Výdaje vedené v informačním systému programového financování EDS/SMVS celkem,1781165000.0
398,Všeobecná pokladní správa,Prostředky na odstraňování důsledků povodní a na následnou obnovu,0.0
398,Všeobecná pokladní správa,"Výdaje vzniklé v průběhu roku, které nelze věcně zařadit do ostatních specifických ukazatelů",0.0
999,Zdravotní pojišťovny,Zdravotní pojišťovny,309764000000.0
